AKQJT AKQJ9 AKQJ8 AKQJ7 AKQJ6 AKQJ5 AKQJ4 AKQJ3 AKQJ2 AKQT9
AKQT8 AKQT7 AKQT6 AKQT5 AKQT4 AKQT3 AKQT2 AKQ98 AKQ97 AKQ96
AKQ95 AKQ94 AKQ93 AKQ92 AKQ87 AKQ86 AKQ85 AKQ84 AKQ83 AKQ82
AKQ76 AKQ75 AKQ74 AKQ73 AKQ72 AKQ65 AKQ64 AKQ63 AKQ62 AKQ54
AKQ53 AKQ52 AKQ43 AKQ42 AKQ32 AKJT9 AKJT8 AKJT7 AKJT6 AKJT5
AKJT4 AKJT3 AKJT2 AKJ98 AKJ97 AKJ96 AKJ95 AKJ94 AKJ93 AKJ92
AKJ87 AKJ86 AKJ85 AKJ84 AKJ83 AKJ82 AKJ76 AKJ75 AKJ74 AKJ73
AKJ72 AKJ65 AKJ64 AKJ63 AKJ62 AKJ54 AKJ53 AKJ52 AKJ43 AKJ42
AKJ32 AKT98 AKT97 AKT96 AKT95 AKT94 AKT93 AKT92 AKT87 AKT86
AKT85 AKT84 AKT83 AKT82 AKT76 AKT75 AKT74 AKT73 AKT72 AKT65
AKT64 AKT63 AKT62 AKT54 AKT53 AKT52 AKT43 AKT42 AKT32 AK987
AK986 AK985 AK984 AK983 AK982 AK976 AK975 AK974 AK973 AK972
AK965 AK964 AK963 AK962 AK954 AK953 AK952 AK943 AK942 AK932
AK876 AK875 AK874 AK873 AK872 AK865 AK864 AK863 AK862 AK854
AK853 AK852 AK843 AK842 AK832 AK765 AK764 AK763 AK762 AK754
AK753 AK752 AK743 AK742 AK732 AK654 AK653 AK652 AK643 AK642
AK632 AK543 AK542 AK532 AK432 AQJT9 AQJT8 AQJT7 AQJT6 AQJT5
AQJT4 AQJT3 AQJT2 AQJ98 AQJ97 AQJ96 AQJ95 AQJ94 AQJ93 AQJ92
AQJ87 AQJ86 AQJ85 AQJ84 AQJ83 AQJ82 AQJ76 AQJ75 AQJ74 AQJ73
AQJ72 AQJ65 AQJ64 AQJ63 AQJ62 AQJ54 AQJ53 AQJ52 AQJ43 AQJ42
AQJ32 AQT98 AQT97 AQT96 AQT95 AQT94 AQT93 AQT92 AQT87 AQT86
AQT85 AQT84 AQT83 AQT82 AQT76 AQT75 AQT74 AQT73 AQT72 AQT65
AQT64 AQT63 AQT62 AQT54 AQT53 AQT52 AQT43 AQT42 AQT32 AQ987
AQ986 AQ985 AQ984 AQ983 AQ982 AQ976 AQ975 AQ974 AQ973 AQ972
AQ965 AQ964 AQ963 AQ962 AQ954 AQ953 AQ952 AQ943 AQ942 AQ932
AQ876 AQ875 AQ874 AQ873 AQ872 AQ865 AQ864 AQ863 AQ862 AQ854
AQ853 AQ852 AQ843 AQ842 AQ832 AQ765 AQ764 AQ763 AQ762 AQ754
AQ753 AQ752 AQ743 AQ742 AQ732 AQ654 AQ653 AQ652 AQ643 AQ642
AQ632 AQ543 AQ542 AQ532 AQ432 AJT98 AJT97 AJT96 AJT95 AJT94
AJT93 AJT92 AJT87 AJT86 AJT85 AJT84 AJT83 AJT82 AJT76 AJT75
AJT74 AJT73 AJT72 AJT65 AJT64 AJT63 AJT62 AJT54 AJT53 AJT52
AJT43 AJT42 AJT32 AJ987 AJ986 AJ985 AJ984 AJ983 AJ982 AJ976
AJ975 AJ974 AJ973 AJ972 AJ965 AJ964 AJ963 AJ962 AJ954 AJ953
AJ952 AJ943 AJ942 AJ932 AJ876 AJ875 AJ874 AJ873 AJ872 AJ865
AJ864 AJ863 AJ862 AJ854 AJ853 AJ852 AJ843 AJ842 AJ832 AJ765
AJ764 AJ763 AJ762 AJ754 AJ753 AJ752 AJ743 AJ742 AJ732 AJ654
AJ653 AJ652 AJ643 AJ642 AJ632 AJ543 AJ542 AJ532 AJ432 AT987
AT986 AT985 AT984 AT983 AT982 AT976 AT975 AT974 AT973 AT972
AT965 AT964 AT963 AT962 AT954 AT953 AT952 AT943 AT942 AT932
